BlockSize(KB), 1 Op, 2 Ops, 4 Ops, 8 Ops, 12 Ops, 16 Ops
4, 150.786702, 56.712034, 28.649187, 24.550613, 29.651523, 29.080006
8, 57.018601, 28.469495, 25.186006, 29.669051, 29.596445, 29.640017
16, 73.546061, 28.957833, 28.721462, 29.403768, 28.856121, 58.678267
32, 28.391729, 29.582401, 29.375686, 29.899757, 29.502992, 29.705757
48, 29.416390, 29.855476, 30.174172, 46.023452, 30.895483, 28.674872
64, 29.011200, 30.560357, 50.068051, 28.635761, 30.112149, 30.693441
128, 36.673065, 30.264260, 29.680206, 30.142890, 42.724534, 28.883993
