BlockSize(KB), 1 Op, 2 Ops, 4 Ops, 8 Ops, 12 Ops, 16 Ops
4, 37.944696, 18.985228, 9.504598, 4.812798, 3.241863, 3.393766
8, 18.986392, 9.502343, 4.752361, 2.395662, 1.634663, 1.755745
16, 9.501349, 4.766110, 2.382253, 1.205946, 1.159133, 0.901049
32, 4.751626, 2.370945, 1.191548, 0.669676, 0.601269, 0.456430
48, 3.154109, 1.583812, 0.807615, 0.579849, 0.401444, 0.486500
64, 2.371508, 1.187441, 0.601999, 0.449838, 0.350962, 0.372899
128, 1.184715, 0.596361, 0.419890, 0.361720, 0.266130, 0.847951
