BlockSize(KB), 1 Op, 2 Ops, 4 Ops, 8 Ops, 12 Ops, 16 Ops
4, 16.456457, 7.478641, 3.773304, 2.193053, 1.827704, 2.927328
8, 7.585422, 3.778941, 2.906033, 1.105350, 0.941126, 0.977952
16, 3.791571, 2.318422, 0.949694, 0.810317, 0.658203, 0.539794
32, 1.893447, 0.940928, 0.499324, 0.447787, 0.397270, 0.730801
48, 1.287765, 0.985015, 0.799538, 0.427560, 0.970260, 0.639265
64, 1.083749, 0.486425, 0.394379, 0.330217, 0.286928, 0.279362
128, 0.484115, 0.263262, 0.249417, 0.240248, 0.243619, 0.242499
