BlockSize(KB), 1 Op, 2 Ops, 4 Ops, 8 Ops, 12 Ops, 16 Ops
4, 138.429531, 77.874778, 40.976178, 32.274271, 17.754779, 16.302065
8, 64.146921, 34.477012, 15.722692, 14.735175, 11.418810, 17.828329
16, 32.628740, 15.584343, 10.751319, 8.080744, 8.561540, 8.580401
32, 16.871483, 8.778026, 16.289385, 15.730958, 18.114981, 9.014771
48, 12.282540, 8.058199, 13.885736, 17.386438, 8.123927, 8.479956
64, 12.425427, 13.485391, 18.429318, 16.180226, 17.398349, 11.812554
128, 13.003582, 11.379070, 16.058178, 11.735776, 12.570298, 11.574414
