BlockSize(KB), 1 Op, 2 Ops, 4 Ops, 8 Ops, 12 Ops, 16 Ops
4, 67.350601, 84.264306, 45.271067, 32.250513, 27.062459, 29.847451
8, 32.991127, 39.997188, 20.085048, 17.636015, 16.713917, 16.813273
16, 19.945881, 18.874763, 12.776382, 11.357732, 19.771606, 10.150417
32, 19.992758, 12.855486, 11.864559, 11.767180, 17.584717, 12.145365
48, 11.732238, 18.709912, 12.134794, 13.100883, 11.406517, 17.366462
64, 12.894281, 12.604194, 18.608478, 12.086984, 12.621614, 11.147781
128, 16.527463, 11.972584, 13.869416, 18.411156, 10.196276, 10.545972
